"path","name","extension","directory","size_bytes","tracked","ignored","file_type","role","generated","source_of_truth","possible_duplicate","possible_obsolete","evidence","recommended_action","notes"
".gitattributes",".gitattributes",".gitattributes",".",66,TRUE,FALSE,"other","uncategorized repository file",FALSE,"review",FALSE,FALSE,"git ls-files: tracked; not matched by ignore inventory; path/type indicates source or repository input","retain",""
".github/workflows/handbook-pages.yml","handbook-pages.yml",".yml",".github/workflows",834,TRUE,FALSE,"configuration","tooling or build configuration",FALSE,"tracked repository source",FALSE,FALSE,"git ls-files: tracked; not matched by ignore inventory; path/type indicates source or repository input","retain",""
".github/workflows/R-CMD-check.yaml","R-CMD-check.yaml",".yaml",".github/workflows",691,TRUE,FALSE,"configuration","tooling or build configuration",FALSE,"tracked repository source",FALSE,FALSE,"git ls-files: tracked; not matched by ignore inventory; path/type indicates source or repository input","retain",""
".gitignore",".gitignore",".gitignore",".",741,TRUE,FALSE,"configuration","tooling or build configuration",FALSE,"tracked repository source",FALSE,FALSE,"git ls-files: tracked; not matched by ignore inventory; path/type indicates source or repository input","retain",""
".lintr",".lintr",".lintr",".",105,TRUE,FALSE,"configuration","tooling or build configuration",FALSE,"tracked repository source",FALSE,FALSE,"git ls-files: tracked; not matched by ignore inventory; path/type indicates source or repository input","retain",""
".Rbuildignore",".Rbuildignore",".Rbuildignore",".",336,TRUE,FALSE,"configuration","tooling or build configuration",FALSE,"tracked repository source",FALSE,FALSE,"git ls-files: tracked; not matched by ignore inventory; path/type indicates source or repository input","retain",""
".RData",".RData",".RData",".",2595,FALSE,TRUE,"data","data input or intermediate",TRUE,"reproducible source should be identified before cleanup",FALSE,TRUE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","review","No deletion decision without human review."
".Rhistory",".Rhistory",".Rhistory",".",0,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,TRUE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","review","No deletion decision without human review."
".Rproj.user/0B557707/cpp-definition-cache","cpp-definition-cache","",".Rproj.user/0B557707",2,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/pcs/debug-breakpoints.pper","debug-breakpoints.pper",".pper",".Rproj.user/0B557707/pcs",66,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/pcs/files-pane.pper","files-pane.pper",".pper",".Rproj.user/0B557707/pcs",148,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/pcs/source-pane.pper","source-pane.pper",".pper",".Rproj.user/0B557707/pcs",22,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/pcs/windowlayoutstate.pper","windowlayoutstate.pper",".pper",".Rproj.user/0B557707/pcs",285,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/pcs/workbench-pane.pper","workbench-pane.pper",".pper",".Rproj.user/0B557707/pcs",57,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/persistent-state","persistent-state","",".Rproj.user/0B557707",2126,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/rmd-outputs","rmd-outputs","",".Rproj.user/0B557707",5,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/saved_source_markers","saved_source_markers","",".Rproj.user/0B557707",27,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/0E8BDBF2","0E8BDBF2","",".Rproj.user/0B557707/sources/prop",108,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/26268287","26268287","",".Rproj.user/0B557707/sources/prop",139,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/2B5AFB91","2B5AFB91","",".Rproj.user/0B557707/sources/prop",108,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/353243C3","353243C3","",".Rproj.user/0B557707/sources/prop",107,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/555DA84C","555DA84C","",".Rproj.user/0B557707/sources/prop",106,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/56EF7529","56EF7529","",".Rproj.user/0B557707/sources/prop",110,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/C5A5BFDF","C5A5BFDF","",".Rproj.user/0B557707/sources/prop",138,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/EC7AB064","EC7AB064","",".Rproj.user/0B557707/sources/prop",139,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/F6B86399","F6B86399","",".Rproj.user/0B557707/sources/prop",140,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/F8E195E0","F8E195E0","",".Rproj.user/0B557707/sources/prop",141,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/prop/INDEX","INDEX","",".Rproj.user/0B557707/sources/prop",773,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/1D90F40C","1D90F40C","",".Rproj.user/0B557707/sources/session-b80ddbe2",645,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/1D90F40C-contents","1D90F40C-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",13094,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/241F9C8C","241F9C8C","",".Rproj.user/0B557707/sources/session-b80ddbe2",657,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/241F9C8C-contents","241F9C8C-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",7861,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/32938575","32938575","",".Rproj.user/0B557707/sources/session-b80ddbe2",764,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/32938575-contents","32938575-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",15085,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/3F0F0018","3F0F0018","",".Rproj.user/0B557707/sources/session-b80ddbe2",785,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/3F0F0018-contents","3F0F0018-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",16626,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/409B6B14","409B6B14","",".Rproj.user/0B557707/sources/session-b80ddbe2",798,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/409B6B14-contents","409B6B14-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",24942,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/61D2B7B5","61D2B7B5","",".Rproj.user/0B557707/sources/session-b80ddbe2",630,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/61D2B7B5-contents","61D2B7B5-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",582,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/7A74702B","7A74702B","",".Rproj.user/0B557707/sources/session-b80ddbe2",652,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/7A74702B-contents","7A74702B-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",4404,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/7E5E8195-contents","7E5E8195-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",0,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/E1A8FE7C","E1A8FE7C","",".Rproj.user/0B557707/sources/session-b80ddbe2",788,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/E1A8FE7C-contents","E1A8FE7C-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",23628,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/FD70EB7A","FD70EB7A","",".Rproj.user/0B557707/sources/session-b80ddbe2",657,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/FD70EB7A-contents","FD70EB7A-contents","",".Rproj.user/0B557707/sources/session-b80ddbe2",5403,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
".Rproj.user/0B557707/sources/session-b80ddbe2/lock_file","lock_file","",".Rproj.user/0B557707/sources/session-b80ddbe2",0,FALSE,TRUE,"other","uncategorized repository file",TRUE,"reproducible source should be identified before cleanup",FALSE,FALSE,"git ls-files: not tracked; git ignore rules: ignored; path/type indicates generated or development output","relocate",""
