"function_name","source_file","line_start","line_end","exported","s3_method","s3_generic","visibility","module_current","direct_call_count","called_by_count","tests_found","documentation_found","examples_found","roadmap_0.2_status","recommended_action","proposed_name","evidence","notes"
"%||%","R/utils-internal.R",1,3,FALSE,FALSE,"","internal","internal-utils",0,14,0,0,0,"internalize","internalize","%||%","R/utils-internal.R:1-3; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".abort_badarg","R/utils-internal.R",5,10,FALSE,FALSE,"","internal","internal-utils",0,52,0,0,0,"internalize","internalize",".abort_badarg","R/utils-internal.R:5-10; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".add_polygon_coverage_columns","R/cube_polygon_weights.R",291,299,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".add_polygon_coverage_columns","R/cube_polygon_weights.R:291-299; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".anom_from_clim","R/anom_diff.R",35,134,FALSE,FALSE,"","internal","anomaly",6,3,0,0,0,"internalize","internalize",".anom_from_clim","R/anom_diff.R:35-134; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".append_extract_distances","R/cube_extract.R",400,410,FALSE,FALSE,"","internal","extraction",0,2,0,0,0,"internalize","internalize",".append_extract_distances","R/cube_extract.R:400-410; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".append_extract_indices","R/cube_extract.R",392,398,FALSE,FALSE,"","internal","extraction",0,2,0,0,0,"internalize","internalize",".append_extract_indices","R/cube_extract.R:392-398; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".apply_cube_mask_5d","R/cube_mask.R",429,456,FALSE,FALSE,"","internal","geometry/masks",2,1,0,0,0,"internalize","internalize",".apply_cube_mask_5d","R/cube_mask.R:429-456; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".axis_bounds_metadata","R/cube_grid_geometry.R",264,290,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".axis_bounds_metadata","R/cube_grid_geometry.R:264-290; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".bounds_to_pairs","R/cube_grid_geometry.R",292,313,FALSE,FALSE,"","internal","geometry/masks",1,2,0,0,0,"internalize","internalize",".bounds_to_pairs","R/cube_grid_geometry.R:292-313; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".canonical_cube_dimnames","R/cube_mask.R",419,427,FALSE,FALSE,"","internal","geometry/masks",0,2,0,0,0,"internalize","internalize",".canonical_cube_dimnames","R/cube_mask.R:419-427; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".check_cube","R/utils-internal.R",199,313,FALSE,FALSE,"","internal","internal-utils",6,31,8,2,2,"internalize","internalize",".check_cube","R/utils-internal.R:199-313; not exported by NAMESPACE; direct-call test files: 8","Static counts exclude dynamic dispatch."
