"function_name","module","exists_in_0.1.0","current_equivalent","implementation_status","priority","dependencies_expected","output_contract","notes"
"cm_connect","ingestion-copernicus",TRUE,"cm_connect","existing","core","network client; credentials outside repository; NetCDF","candidate table, local asset, connection, or ocean_cube","Listed in roadmap section 20.1."
"cm_setup","ingestion-copernicus",TRUE,"cm_setup","existing","core","network client; credentials outside repository; NetCDF","candidate table, local asset, connection, or ocean_cube","Listed in roadmap section 20.1."
"download_copernicus","ingestion-copernicus",FALSE,"download_nc","rename-required","core","network client; credentials outside repository; NetCDF","candidate table, local asset, connection, or ocean_cube","Listed in roadmap section 20.1."
"download_erddap","ingestion-erddap",FALSE,"","new","core","HTTP/ERDDAP client; NetCDF","local asset or ocean_cube","Listed in roadmap section 20.1."
"download_url","ingestion-url",FALSE,"","new","core","HTTP/STAC metadata","candidate table, metadata, or local asset","Listed in roadmap section 20.1."
"read_stac","ingestion-url",FALSE,"","future-extension","future","HTTP/STAC metadata","candidate table, metadata, or local asset","Listed as planned extension in section 20.2."
"source_info","ingestion-url",FALSE,"","new","core","HTTP/STAC metadata","candidate table, metadata, or local asset","Listed in roadmap section 20.1."
"source_search","ingestion-url",FALSE,"","new","core","HTTP/STAC metadata","candidate table, metadata, or local asset","Listed in roadmap section 20.1."
"source_variables","ingestion-url",FALSE,"","new","core","HTTP/STAC metadata","candidate table, metadata, or local asset","Listed in roadmap section 20.1."
"cube_ingest","ingestion-netcdf",FALSE,"","new","core","ncdf4/OPeNDAP/Zarr backend as applicable","ocean_cube or backend descriptor","Listed in roadmap section 20.1."
"read_nc","ingestion-netcdf",TRUE,"read_nc","existing","core","ncdf4/OPeNDAP/Zarr backend as applicable","ocean_cube or backend descriptor","Listed in roadmap section 20.1."
"read_opendap","ingestion-netcdf",FALSE,"","new","core","ncdf4/OPeNDAP/Zarr backend as applicable","ocean_cube or backend descriptor","Listed in roadmap section 20.1."
"read_thredds","ingestion-netcdf",FALSE,"","future-extension","future","ncdf4/OPeNDAP/Zarr backend as applicable","ocean_cube or backend descriptor","Listed as planned extension in section 20.2."
"read_zarr","ingestion-netcdf",FALSE,"","future-extension","future","ncdf4/OPeNDAP/Zarr backend as applicable","ocean_cube or backend descriptor","Listed as planned extension in section 20.2."
"cube_collect","core-object",TRUE,"cube_collect","existing","core","base R; backend contract","ocean_cube","Listed in roadmap section 20.1."
"ocean_cube","core-object",TRUE,"ocean_cube","existing","core","base R; backend contract","ocean_cube","Listed in roadmap section 20.1."
"cube_coverage","validation",FALSE,"","new","core","ocean_cube; metadata CF; backend inspection","structured diagnostic table or inspected ocean_cube","Listed in roadmap section 20.1."
"cube_inspect","validation",FALSE,"","new","core","ocean_cube; metadata CF; backend inspection","structured diagnostic table or inspected ocean_cube","Listed in roadmap section 20.1."
"cube_inventory","validation",FALSE,"","new","core","ocean_cube; metadata CF; backend inspection","structured diagnostic table or inspected ocean_cube","Listed in roadmap section 20.1."
"cube_missing","validation",FALSE,"","new","core","ocean_cube; metadata CF; backend inspection","structured diagnostic table or inspected ocean_cube","Listed in roadmap section 20.1."
"cube_qc_filter","validation",FALSE,"","new","core","ocean_cube; metadata CF; backend inspection","structured diagnostic table or inspected ocean_cube","Listed in roadmap section 20.1."
"cube_quality","validation",FALSE,"","new","core","ocean_cube; metadata CF; backend inspection","structured diagnostic table or inspected ocean_cube","Listed in roadmap section 20.1."
"cube_uncertainty","validation",FALSE,"","new","core","ocean_cube; metadata CF; backend inspection","structured diagnostic table or inspected ocean_cube","Listed in roadmap section 20.1."
"cube_validate","validation",FALSE,"","new","core","ocean_cube; metadata CF; backend inspection","structured diagnostic table or inspected ocean_cube","Listed in roadmap section 20.1."
"cube_calendar","metadata-cf",FALSE,"","new","high","ocean_cube; CF metadata","ocean_cube with explicit metadata/provenance","Explicitly proposed in roadmap functional sections."
"cube_cf_metadata","metadata-cf",FALSE,"","new","high","ocean_cube; CF metadata","ocean_cube with explicit metadata/provenance","Explicitly proposed in roadmap functional sections."
"cube_depth_positive","metadata-cf",FALSE,"","new","high","ocean_cube; CF metadata","ocean_cube with explicit metadata/provenance","Explicitly proposed in roadmap functional sections."
"cube_lon_convention","metadata-cf",FALSE,"","new","high","ocean_cube; CF metadata","ocean_cube with explicit metadata/provenance","Explicitly proposed in roadmap functional sections."
"cube_standardize","metadata-cf",FALSE,"","new","high","ocean_cube; CF metadata","ocean_cube with explicit metadata/provenance","Explicitly proposed in roadmap functional sections."
"cube_units","metadata-cf",FALSE,"","new","high","ocean_cube; CF metadata","ocean_cube with explicit metadata/provenance","Explicitly proposed in roadmap functional sections."
