"current_function","current_status","proposed_function","transition","breaking_change","compatibility_alias","deprecation_required","implementation_phase","evidence","notes"
"annual_index","not explicitly resolved","","review",FALSE,FALSE,FALSE,"Human review before cleanup","NAMESPACE export; roadmap has no definitive mapping","Do not remove or deprecate without a human decision."
"anom_diff","explicit retain concept","anom_diff","retain",FALSE,FALSE,FALSE,"Roadmap module: anomaly","roadmap sections 20/21.3",""
"anom_z","explicit retain concept","anom_z","retain",FALSE,FALSE,FALSE,"Roadmap module: anomaly","roadmap sections 20/21.3",""
"clim_day","explicit retain concept","clim_day","retain",FALSE,FALSE,FALSE,"Roadmap module: climatology","roadmap sections 20/21.3",""
"clim_month","explicit retain concept","clim_month","retain",FALSE,FALSE,FALSE,"Roadmap module: climatology","roadmap sections 20/21.3",""
"cm_connect","explicit retain concept","cm_connect","retain",FALSE,FALSE,FALSE,"Roadmap module: ingestion-copernicus","roadmap sections 20/21.3",""
"cm_setup","explicit retain concept","cm_setup","retain",FALSE,FALSE,FALSE,"Roadmap module: ingestion-copernicus","roadmap sections 20/21.3",""
"coast_dist","not explicitly resolved","","review",FALSE,FALSE,FALSE,"Human review before cleanup","NAMESPACE export; roadmap has no definitive mapping","Do not remove or deprecate without a human decision."
"crop_stock","not explicitly resolved","","review",FALSE,FALSE,FALSE,"Human review before cleanup","NAMESPACE export; roadmap has no definitive mapping","Do not remove or deprecate without a human decision."
"cube_cell_area","explicit retain concept","cube_cell_area","retain",FALSE,FALSE,FALSE,"Roadmap module: geometry","roadmap sections 20/21.3",""
"cube_cell_volume","explicit retain concept","cube_cell_volume","retain",FALSE,FALSE,FALSE,"Roadmap module: geometry","roadmap sections 20/21.3",""
"cube_collect","explicit retain concept","cube_collect","retain",FALSE,FALSE,FALSE,"Roadmap module: core-object","roadmap sections 20/21.3",""
"cube_crop","explicit retain concept","cube_crop","retain",FALSE,FALSE,FALSE,"Roadmap module: selection","roadmap sections 20/21.3",""
"cube_extract","explicit retain concept","cube_extract","retain",FALSE,FALSE,FALSE,"Roadmap module: extraction","roadmap sections 20/21.3",""
"cube_layer_thickness","explicit retain concept","cube_layer_thickness","retain",FALSE,FALSE,FALSE,"Roadmap module: geometry","roadmap sections 20/21.3",""
"cube_mask","explicit retain concept","cube_mask","retain",FALSE,FALSE,FALSE,"Roadmap module: selection","roadmap sections 20/21.3",""
"cube_polygon_weights","explicit retain concept","cube_polygon_weights","retain",FALSE,FALSE,FALSE,"Roadmap module: geometry","roadmap sections 20/21.3",""
"cube_slice","explicit retain concept","cube_slice","retain",FALSE,FALSE,FALSE,"Roadmap module: selection","roadmap sections 20/21.3",""
"cube_transect","explicit retain concept","cube_transect","retain",FALSE,FALSE,FALSE,"Roadmap module: extraction","roadmap sections 20/21.3",""
"download_nc","explicit rename in roadmap","download_copernicus","rename",TRUE,TRUE,TRUE,"Phase 1 decision, then owning implementation phase","roadmap section 21.4",""
"layer_mean","explicit rename in roadmap","cube_vertical_mean","rename",TRUE,TRUE,TRUE,"Phase 1 decision, then owning implementation phase","roadmap section 21.4",""
"link_events","explicit rename in roadmap","cube_join","rename",TRUE,TRUE,TRUE,"Phase 1 decision, then owning implementation phase","roadmap section 21.4",""
"ocean_cube","explicit retain concept","ocean_cube","retain",FALSE,FALSE,FALSE,"Roadmap module: core-object","roadmap sections 20/21.3",""
"read_nc","explicit retain concept","read_nc","retain",FALSE,FALSE,FALSE,"Roadmap module: ingestion-netcdf","roadmap sections 20/21.3",""
"signal_noise","explicit retain concept","signal_noise","retain",FALSE,FALSE,FALSE,"Roadmap module: anomaly","roadmap sections 20/21.3",""
"stock_mask","not explicitly resolved","","review",FALSE,FALSE,FALSE,"Human review before cleanup","NAMESPACE export; roadmap has no definitive mapping","Do not remove or deprecate without a human decision."
"to_month","explicit retain concept","to_month","retain",FALSE,FALSE,FALSE,"Roadmap module: aggregation","roadmap sections 20/21.3",""
