"topic","function_name","source_type","source_file","canonical_candidate","duplicate_group","current","roadmap_relevance","recommended_action","notes"
"oceancube-v0.2.0-scope","anom_class","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:anom_class",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","anom_cumsum","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:anom_cumsum",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","anom_diff","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:anom_diff",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","anom_percent","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:anom_percent",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","anom_percentile","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:anom_percentile",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","anom_ratio","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:anom_ratio",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","anom_robust","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:anom_robust",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","anom_z","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:anom_z",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","clim_custom","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:clim_custom",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","clim_day","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:clim_day",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","clim_month","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:clim_month",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","clim_season","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:clim_season",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
