"path","tracked","ignored","generated","reproducible","required_for_package","required_for_tests","contains_local_path","contains_credentials","contains_large_data","recommended_action","evidence","notes"
".RData",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=data; size_bytes=2595","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rhistory",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=0","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/cpp-definition-cache",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=2","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/pcs/debug-breakpoints.pper",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=66","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/pcs/files-pane.pper",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=148","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/pcs/source-pane.pper",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=22","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/pcs/windowlayoutstate.pper",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=285","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/pcs/workbench-pane.pper",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=57","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/persistent-state",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=2126","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/rmd-outputs",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=5","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/saved_source_markers",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=27","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/0E8BDBF2",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=108","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
