"caller","callee","caller_visibility","callee_visibility","caller_file","callee_file","relationship_type","evidence"
"annual_index",".check_cube","public","internal","R/annual_index.R","R/utils-internal.R","static direct symbol call","R/annual_index.R:9-56 contains call symbol .check_cube"
"annual_index",".cube_shape","public","internal","R/annual_index.R","R/utils-internal.R","static direct symbol call","R/annual_index.R:9-56 contains call symbol .cube_shape"
"annual_index",".cube_read","public","internal","R/annual_index.R","R/backend-memory.R","static direct symbol call","R/annual_index.R:9-56 contains call symbol .cube_read"
"annual_index","%||%","public","internal","R/annual_index.R","R/utils-internal.R","static direct symbol call","R/annual_index.R:9-56 contains call symbol %||%"
"anom_diff",".anom_from_clim","public","internal","R/anom_diff.R","R/anom_diff.R","static direct symbol call","R/anom_diff.R:8-10 contains call symbol .anom_from_clim"
"anom_z",".anom_from_clim","public","internal","R/anom_diff.R","R/anom_diff.R","static direct symbol call","R/anom_diff.R:19-21 contains call symbol .anom_from_clim"
"signal_noise",".anom_from_clim","public","internal","R/anom_diff.R","R/anom_diff.R","static direct symbol call","R/anom_diff.R:31-33 contains call symbol .anom_from_clim"
".anom_from_clim",".check_cube","internal","internal","R/anom_diff.R","R/utils-internal.R","static direct symbol call","R/anom_diff.R:35-134 contains call symbol .check_cube"
".anom_from_clim",".cube_read","internal","internal","R/anom_diff.R","R/backend-memory.R","static direct symbol call","R/anom_diff.R:35-134 contains call symbol .cube_read"
".anom_from_clim","%||%","internal","internal","R/anom_diff.R","R/utils-internal.R","static direct symbol call","R/anom_diff.R:35-134 contains call symbol %||%"
".anom_from_clim",".clim_index","internal","internal","R/anom_diff.R","R/anom_diff.R","static direct symbol call","R/anom_diff.R:35-134 contains call symbol .clim_index"
".anom_from_clim","ocean_cube","internal","public","R/anom_diff.R","R/ocean_cube.R","static direct symbol call","R/anom_diff.R:35-134 contains call symbol ocean_cube"
".anom_from_clim",".make_provenance","internal","internal","R/anom_diff.R","R/utils-internal.R","static direct symbol call","R/anom_diff.R:35-134 contains call symbol .make_provenance"
".clim_index",".date_key","internal","internal","R/anom_diff.R","R/clim_day.R","static direct symbol call","R/anom_diff.R:136-148 contains call symbol .date_key"
".clim_index","%||%","internal","internal","R/anom_diff.R","R/utils-internal.R","static direct symbol call","R/anom_diff.R:136-148 contains call symbol %||%"
".plan_cube_index_read",".cube_shape","internal","internal","R/backend-index.R","R/utils-internal.R","static direct symbol call","R/backend-index.R:31-104 contains call symbol .cube_shape"
".plan_cube_index_read",".cube_axis_names","internal","internal","R/backend-index.R","R/backend-memory.R","static direct symbol call","R/backend-index.R:31-104 contains call symbol .cube_axis_names"
".plan_cube_index_read",".validate_cube_index","internal","internal","R/backend-index.R","R/backend-memory.R","static direct symbol call","R/backend-index.R:31-104 contains call symbol .validate_cube_index"
".plan_cube_index_read",".cube_product_as_double","internal","internal","R/backend-index.R","R/backend-index.R","static direct symbol call","R/backend-index.R:31-104 contains call symbol .cube_product_as_double"
