"function_name","source_file","line_start","line_end","top_level","exported","s3_method","local_function","duplicate_definition","verified_source_defined","previous_audit_classification","corrected_classification","evidence","notes"
"annual_index","R/annual_index.R",9,56,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/annual_index.R:9 top-level assignment to function; registered by export() in NAMESPACE",""
"anom_diff","R/anom_diff.R",8,10,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/anom_diff.R:8 top-level assignment to function; registered by export() in NAMESPACE",""
"anom_z","R/anom_diff.R",19,21,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/anom_diff.R:19 top-level assignment to function; registered by export() in NAMESPACE",""
"signal_noise","R/anom_diff.R",31,33,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/anom_diff.R:31 top-level assignment to function; registered by export() in NAMESPACE",""
".anom_from_clim","R/anom_diff.R",35,134,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/anom_diff.R:35 top-level assignment to function; not exported in NAMESPACE",""
".clim_index","R/anom_diff.R",136,148,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/anom_diff.R:136 top-level assignment to function; not exported in NAMESPACE",""
".cube_product_as_double","R/backend-index.R",3,29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-index.R:3 top-level assignment to function; not exported in NAMESPACE",""
".plan_cube_index_read","R/backend-index.R",31,104,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-index.R:31 top-level assignment to function; not exported in NAMESPACE",""
".cube_read_spatial_pairs","R/backend-index.R",106,126,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-index.R:106 top-level assignment to function; not exported in NAMESPACE",""
".validate_spatial_pair_read","R/backend-index.R",128,155,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-index.R:128 top-level assignment to function; not exported in NAMESPACE",""
".spatial_pair_map","R/backend-index.R",157,168,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-index.R:157 top-level assignment to function; not exported in NAMESPACE",""
".cube_axis_names","R/backend-memory.R",3,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:3 top-level assignment to function; not exported in NAMESPACE",""
".cube_backend","R/backend-memory.R",7,42,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:7 top-level assignment to function; not exported in NAMESPACE",""
".validate_memory_backend","R/backend-memory.R",44,88,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:44 top-level assignment to function; not exported in NAMESPACE",""
".cube_storage_shape","R/backend-memory.R",90,104,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:90 top-level assignment to function; not exported in NAMESPACE",""
".require_memory_backend","R/backend-memory.R",106,118,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:106 top-level assignment to function; not exported in NAMESPACE",""
".validate_cube_position","R/backend-memory.R",120,165,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:120 top-level assignment to function; not exported in NAMESPACE",""
".validate_cube_index","R/backend-memory.R",167,217,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:167 top-level assignment to function; not exported in NAMESPACE",""
".validate_cube_block_vector","R/backend-memory.R",219,254,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:219 top-level assignment to function; not exported in NAMESPACE",""
".validate_cube_block","R/backend-memory.R",256,293,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:256 top-level assignment to function; not exported in NAMESPACE",""
".cube_read","R/backend-memory.R",295,322,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:295 top-level assignment to function; not exported in NAMESPACE",""
".cube_read_block","R/backend-memory.R",324,337,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:324 top-level assignment to function; not exported in NAMESPACE",""
".cube_read_spatial_pairs_memory","R/backend-memory.R",339,392,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:339 top-level assignment to function; not exported in NAMESPACE",""
".cube_write_block","R/backend-memory.R",394,480,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:394 top-level assignment to function; not exported in NAMESPACE",""
".new_collected_memory_cube","R/backend-memory.R",482,507,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:482 top-level assignment to function; not exported in NAMESPACE",""
