"function_name","module","exists_now","current_equivalent","release_tier","required_for_end_to_end_workflow","dependency_order","estimated_complexity","scientific_risk","backend_risk","priority_reason","notes"
"cm_connect","ingestion-copernicus",TRUE,"cm_connect","core-0.2.0",TRUE,3,"low","low","high","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cm_setup","ingestion-copernicus",TRUE,"cm_setup","core-0.2.0",TRUE,3,"low","low","high","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"download_copernicus","ingestion-copernicus",FALSE,"download_nc","core-0.2.0",TRUE,3,"medium","low","high","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"download_erddap","ingestion-erddap",FALSE,"","post-core-0.2.x",FALSE,3,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"download_url","ingestion-url",FALSE,"","post-core-0.2.x",FALSE,3,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"read_stac","ingestion-url",FALSE,"","future",FALSE,3,"high","low","high","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.","STAC/Zarr must not become a core dependency."
"source_info","ingestion-url",FALSE,"","post-core-0.2.x",FALSE,3,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"source_search","ingestion-url",FALSE,"","post-core-0.2.x",FALSE,3,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"source_variables","ingestion-url",FALSE,"","post-core-0.2.x",FALSE,3,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_ingest","ingestion-netcdf",FALSE,"","post-core-0.2.x",FALSE,3,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"read_nc","ingestion-netcdf",TRUE,"read_nc","core-0.2.0",TRUE,3,"low","low","high","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"read_opendap","ingestion-netcdf",FALSE,"","post-core-0.2.x",FALSE,3,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"read_thredds","ingestion-netcdf",FALSE,"","future",FALSE,3,"high","low","high","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.",""
"read_zarr","ingestion-netcdf",FALSE,"","future",FALSE,3,"high","low","high","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.","STAC/Zarr must not become a core dependency."
"cube_collect","core-object",TRUE,"cube_collect","core-0.2.0",TRUE,1,"low","low","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"ocean_cube","core-object",TRUE,"ocean_cube","core-0.2.0",TRUE,1,"low","low","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_coverage","validation",FALSE,"","post-core-0.2.x",FALSE,2,"medium","medium","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_inspect","validation",FALSE,"","core-0.2.0",TRUE,2,"medium","medium","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_inventory","validation",FALSE,"","post-core-0.2.x",FALSE,2,"medium","medium","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_missing","validation",FALSE,"","post-core-0.2.x",FALSE,2,"medium","medium","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_qc_filter","validation",FALSE,"","post-core-0.2.x",FALSE,2,"medium","medium","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_quality","validation",FALSE,"","post-core-0.2.x",FALSE,2,"medium","medium","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_uncertainty","validation",FALSE,"","post-core-0.2.x",FALSE,2,"medium","medium","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_validate","validation",FALSE,"","core-0.2.0",TRUE,2,"medium","medium","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_calendar","metadata-cf",FALSE,"","post-core-0.2.x",FALSE,2,"high","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_cf_metadata","metadata-cf",FALSE,"","post-core-0.2.x",FALSE,2,"high","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_depth_positive","metadata-cf",FALSE,"","post-core-0.2.x",FALSE,2,"high","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_lon_convention","metadata-cf",FALSE,"","post-core-0.2.x",FALSE,2,"high","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_standardize","metadata-cf",FALSE,"","post-core-0.2.x",FALSE,2,"high","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_units","metadata-cf",FALSE,"","post-core-0.2.x",FALSE,2,"high","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_align","selection",FALSE,"","post-core-0.2.x",FALSE,4,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_crop","selection",TRUE,"cube_crop","core-0.2.0",TRUE,4,"low","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_mask","selection",TRUE,"cube_mask","post-core-0.2.x",FALSE,4,"low","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_merge","selection",FALSE,"","post-core-0.2.x",FALSE,4,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_regrid","selection",FALSE,"","future",FALSE,4,"high","low","medium","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.","Do not imply UGRID, swath or unstructured-grid support in core 0.2.0."
"cube_resample","selection",FALSE,"","future",FALSE,4,"high","low","medium","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.","Do not imply UGRID, swath or unstructured-grid support in core 0.2.0."
"cube_slice","selection",TRUE,"cube_slice","core-0.2.0",TRUE,4,"low","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_stack","selection",FALSE,"","post-core-0.2.x",FALSE,4,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_extract","extraction",TRUE,"cube_extract","core-0.2.0",TRUE,4,"low","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_transect","extraction",TRUE,"cube_transect","core-0.2.0",TRUE,4,"low","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_assign","matching",FALSE,"","post-core-0.2.x",FALSE,5,"medium","medium","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_join","matching",FALSE,"link_events","core-0.2.0",TRUE,5,"medium","medium","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
