"function_name","source_file","called_by","calls","module","current_role","decision","proposed_file","duplicate","apparently_unused","dynamic_use_possible","tests","risk","evidence","notes"
".anom_from_clim","R/anom_diff.R","anom_diff; anom_z; signal_noise","%||%; .check_cube; .clim_index; .cube_read; .make_provenance; ocean_cube","anomaly","static helper used by package functions","retain-internal","R/anom_diff.R",FALSE,FALSE,FALSE,"","low","R/anom_diff.R:35 verified top-level definition; static callers: anom_diff; anom_z; signal_noise; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".clim_index","R/anom_diff.R",".anom_from_clim","%||%; .date_key","anomaly","static helper used by package functions","retain-internal","R/anom_diff.R",FALSE,FALSE,FALSE,"","low","R/anom_diff.R:136 verified top-level definition; static callers: .anom_from_clim; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_product_as_double","R/backend-index.R",".cube_estimated_bytes; .estimate_cube_extract; .plan_cube_index_read","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-index.R",FALSE,FALSE,FALSE,"","low","R/backend-index.R:3 verified top-level definition; static callers: .cube_estimated_bytes; .estimate_cube_extract; .plan_cube_index_read; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".plan_cube_index_read","R/backend-index.R",".cube_read_block_netcdf; .cube_read_netcdf; cube_crop; cube_extract; cube_slice",".cube_axis_names; .cube_product_as_double; .cube_shape; .validate_cube_index","backend/netcdf","static helper used by package functions","retain-internal","R/backend-index.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-noncontiguous.R","low","R/backend-index.R:31 verified top-level definition; static callers: .cube_read_block_netcdf; .cube_read_netcdf; cube_crop; cube_extract; cube_slice; tests: tests/testthat/test-backend-netcdf-noncontiguous.R; documentation: inst/examples/noncontiguous_collect.R","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_read_spatial_pairs","R/backend-index.R","cube_transect",".cube_backend; .cube_read_spatial_pairs_memory; .cube_read_spatial_pairs_netcdf","backend/netcdf","static helper used by package functions","retain-internal","R/backend-index.R",FALSE,FALSE,FALSE,"","low","R/backend-index.R:106 verified top-level definition; static callers: cube_transect; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_spatial_pair_read","R/backend-index.R",".cube_read_spatial_pairs_memory; .cube_read_spatial_pairs_netcdf",".abort_badarg; .cube_shape; .validate_cube_index","backend/netcdf","static helper used by package functions","retain-internal","R/backend-index.R",FALSE,FALSE,FALSE,"","low","R/backend-index.R:128 verified top-level definition; static callers: .cube_read_spatial_pairs_memory; .cube_read_spatial_pairs_netcdf; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".spatial_pair_map","R/backend-index.R",".cube_read_spatial_pairs_memory; .cube_read_spatial_pairs_netcdf; .plan_cube_transect","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-index.R",FALSE,FALSE,FALSE,"","low","R/backend-index.R:157 verified top-level definition; static callers: .cube_read_spatial_pairs_memory; .cube_read_spatial_pairs_netcdf; .plan_cube_transect; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_axis_names","R/backend-memory.R",".check_cube; .cube_extract_long; .cube_extract_wide; .cube_shape; .extract_local_indices; .netcdf_block_dimnames; .new_netcdf_storage; .plan_cube_index_read; .plan_masked_cube_read; .resolve_cube_crop; .resolve_cube_slice; .validate_cube_block; .validate_cube_block_vector; .validate_cube_index; .validate_extract_wide; .validate_memory_backend; .validate_netcdf_storage; cube_extract; cube_slice","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-slice.R","low","R/backend-memory.R:3 verified top-level definition; static callers: .check_cube; .cube_extract_long; .cube_extract_wide; .cube_shape; .extract_local_indices; .netcdf_block_dimnames; .new_netcdf_storage; .plan_cube_index_read; .plan_masked_cube_read; .resolve_cube_crop; .resolve_cube_slice; .validate_cube_block; .validate_cube_block_vector; .validate_cube_index; .validate_extract_wide; .validate_memory_backend; .validate_netcdf_storage; cube_extract; cube_slice; tests: tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-slice.R; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_backend","R/backend-memory.R",".check_cube; .cube_read; .cube_read_block; .cube_read_spatial_pairs; .cube_storage_shape; .cube_write_block; .require_memory_backend; cube_collect; cube_crop; cube_extract; cube_mask; cube_slice; cube_transect",".validate_netcdf_storage","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-coast-dist-backend.R; tests/testthat/test-refactor-layer-annual-backend.R; tests/testthat/test-refactor-link-events-backend.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-release-contract.R","low","R/backend-memory.R:7 verified top-level definition; static callers: .check_cube; .cube_read; .cube_read_block; .cube_read_spatial_pairs; .cube_storage_shape; .cube_write_block; .require_memory_backend; cube_collect; cube_crop; cube_extract; cube_mask; cube_slice; cube_transect; tests: tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-coast-dist-backend.R; tests/testthat/test-refactor-layer-annual-backend.R; tests/testthat/test-refactor-link-events-backend.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-release-contract.R; documentation: inst/examples/backend_memory.R; inst/examples/backend_netcdf_descriptor.R; inst/examples/backend_netcdf_read_block.R; inst/examples/cube_crop.R; inst/examples/cube_mask.R; inst/examples/cube_slice.R","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_memory_backend","R/backend-memory.R",".check_cube; .cube_storage_shape",".abort_badarg; .cube_axis_names","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"","low","R/backend-memory.R:44 verified top-level definition; static callers: .check_cube; .cube_storage_shape; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
