"path","tracked","ignored","category","required_for_package","required_for_tests","required_for_documentation","generated","reproducible","contains_operational_data","contains_local_path","duplicate_group","decision","destination","deletion_requires_approval","evidence","notes"
".gitattributes",TRUE,FALSE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","retain","",FALSE,"git ls-files: tracked; not in ignored inventory; classified as other; path/type does not establish generated output",""
".github/workflows/handbook-pages.yml",TRUE,FALSE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","retain","",FALSE,"git ls-files: tracked; not in ignored inventory; classified as other; path/type does not establish generated output",""
".github/workflows/R-CMD-check.yaml",TRUE,FALSE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","retain","",FALSE,"git ls-files: tracked; not in ignored inventory; classified as other; path/type does not establish generated output",""
".gitignore",TRUE,FALSE,"configuration",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","retain","",FALSE,"git ls-files: tracked; not in ignored inventory; classified as configuration; path/type does not establish generated output",""
".lintr",TRUE,FALSE,"configuration",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","retain","",FALSE,"git ls-files: tracked; not in ignored inventory; classified as configuration; path/type does not establish generated output",""
".Rbuildignore",TRUE,FALSE,"configuration",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","retain","",FALSE,"git ls-files: tracked; not in ignored inventory; classified as configuration; path/type does not establish generated output",""
".RData",FALSE,TRUE,"RDS",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"","relocate-later","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as RDS; path/type does not establish generated output; data extension/location may contain operational data","No move or merge is authorized by this decision document alone."
".Rhistory",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/cpp-definition-cache",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/pcs/debug-breakpoints.pper",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
