"path","tracked","untracked","ignored","exists","size_bytes","category","generated","operational","required_for_package","required_for_tests","required_for_documentation","previous_decision","verified_decision","evidence","notes"
".gitattributes",TRUE,FALSE,FALSE,TRUE,66,"other",FALSE,FALSE,FALSE,FALSE,FALSE,"retain","retain","git ls-files: tracked; not in non-ignored untracked inventory; not in ignored inventory; filesystem: exists; category: other; not established as generated; not classified as operational",""
".github/workflows/handbook-pages.yml",TRUE,FALSE,FALSE,TRUE,834,"other",FALSE,FALSE,FALSE,FALSE,FALSE,"retain","retain","git ls-files: tracked; not in non-ignored untracked inventory; not in ignored inventory; filesystem: exists; category: other; not established as generated; not classified as operational",""
".github/workflows/R-CMD-check.yaml",TRUE,FALSE,FALSE,TRUE,691,"other",FALSE,FALSE,FALSE,FALSE,FALSE,"retain","retain","git ls-files: tracked; not in non-ignored untracked inventory; not in ignored inventory; filesystem: exists; category: other; not established as generated; not classified as operational",""
".gitignore",TRUE,FALSE,FALSE,TRUE,784,"configuration",FALSE,FALSE,FALSE,FALSE,FALSE,"retain","retain","git ls-files: tracked; not in non-ignored untracked inventory; not in ignored inventory; filesystem: exists; category: configuration; not established as generated; not classified as operational",""
".lintr",TRUE,FALSE,FALSE,TRUE,105,"configuration",FALSE,FALSE,FALSE,FALSE,FALSE,"retain","retain","git ls-files: tracked; not in non-ignored untracked inventory; not in ignored inventory; filesystem: exists; category: configuration; not established as generated; not classified as operational",""
".Rbuildignore",TRUE,FALSE,FALSE,TRUE,615,"configuration",FALSE,FALSE,FALSE,FALSE,FALSE,"retain","retain","git ls-files: tracked; not in non-ignored untracked inventory; not in ignored inventory; filesystem: exists; category: configuration; not established as generated; not classified as operational",""
".RData",FALSE,FALSE,TRUE,TRUE,2595,"rds",FALSE,TRUE,FALSE,FALSE,FALSE,"relocate-later","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rds; not established as generated; operational location/type evidence","Local operational file: do not use git mv."
".Rhistory",FALSE,FALSE,TRUE,TRUE,0,"other",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: other; not established as generated; not classified as operational",""
".Rproj.user/0B557707/cpp-definition-cache",FALSE,FALSE,TRUE,TRUE,2,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/pcs/debug-breakpoints.pper",FALSE,FALSE,TRUE,TRUE,66,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
