"target_path","target_name","reference_file","reference_line","reference_type","exact_path_reference","basename_reference","dynamic_reference_possible","impact_if_moved","required_update","evidence","notes"
".RData",".RData","docs/roadmap/audit-0.2.0/01-file-inventory.csv",8,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:8 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/audit-0.2.0/01-file-inventory.csv",533,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:533 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/audit-0.2.0/01-file-inventory.csv",934,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:934 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/audit-0.2.0/01-file-inventory.csv",1555,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:1555 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/audit-0.2.0/01-file-inventory.csv",2258,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:2258 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",2,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:2 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",526,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:526 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",927,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:927 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",1548,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:1548 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",2251,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:2251 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv",8,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv:8 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv",533,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv:533 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv",934,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv:934 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv",1555,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv:1555 literal match","Inventory or decision record; retain historical path evidence."
".RData",".RData","docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv",2258,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv:2258 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js","bootstrap-toc.min.js","docs/roadmap/audit-0.2.0/01-file-inventory.csv",55,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:55 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js","bootstrap-toc.min.js","docs/roadmap/audit-0.2.0/01-file-inventory.csv",362,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:362 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js","bootstrap-toc.min.js","docs/roadmap/audit-0.2.0/01-file-inventory.csv",463,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:463 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js","bootstrap-toc.min.js","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",48,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:48 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js","bootstrap-toc.min.js","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",355,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:355 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js","bootstrap-toc.min.js","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",456,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:456 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js","bootstrap-toc.min.js","docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv",55,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv:55 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js","bootstrap-toc.min.js","docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv",362,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv:362 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js","bootstrap-toc.min.js","docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv",463,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/decision-0.2.0/08-file-cleanup-decisions.csv:463 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js","clipboard.min.js","docs/roadmap/audit-0.2.0/01-file-inventory.csv",56,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:56 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js","clipboard.min.js","docs/roadmap/audit-0.2.0/01-file-inventory.csv",363,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:363 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js","clipboard.min.js","docs/roadmap/audit-0.2.0/01-file-inventory.csv",464,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:464 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js","clipboard.min.js","docs/roadmap/audit-0.2.0/01-file-inventory.csv",2315,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/01-file-inventory.csv:2315 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js","clipboard.min.js","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",49,"roadmap",TRUE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:49 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js","clipboard.min.js","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",356,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:356 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js","clipboard.min.js","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",457,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:457 literal match","Inventory or decision record; retain historical path evidence."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js","clipboard.min.js","docs/roadmap/audit-0.2.0/08-artifact-audit.csv",2303,"roadmap",FALSE,TRUE,TRUE,"Roadmap/audit evidence only; no runtime update.",FALSE,"docs/roadmap/audit-0.2.0/08-artifact-audit.csv:2303 literal match","Inventory or decision record; retain historical path evidence."
