"current_path","proposed_path","action","reason","source_of_truth_after_move","references_to_update","git_operation_proposed","commit_batch","rollback_command","approved_now","human_decision","notes"
".RData",".RData","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/cache/R/pkgdown/http/918fb91ebd579178c7691d8e95bbddae.rds","artifacts/h24-final/cache/R/pkgdown/http/918fb91ebd579178c7691d8e95bbddae.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/help/aliases.rds","artifacts/h24-final/library/oceancube/help/aliases.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/help/paths.rds","artifacts/h24-final/library/oceancube/help/paths.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/features.rds","artifacts/h24-final/library/oceancube/Meta/features.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/hsearch.rds","artifacts/h24-final/library/oceancube/Meta/hsearch.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/links.rds","artifacts/h24-final/library/oceancube/Meta/links.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/nsInfo.rds","artifacts/h24-final/library/oceancube/Meta/nsInfo.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/package.rds","artifacts/h24-final/library/oceancube/Meta/package.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/Rd.rds","artifacts/h24-final/library/oceancube/Meta/Rd.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/library/oceancube/Meta/vignette.rds","artifacts/h24-final/library/oceancube/Meta/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","artifacts/h24-final/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/oceancube.Rcheck/oceancube/help/aliases.rds","artifacts/h24-final/oceancube.Rcheck/oceancube/help/aliases.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/oceancube.Rcheck/oceancube/help/paths.rds","artifacts/h24-final/oceancube.Rcheck/oceancube/help/paths.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/features.rds","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/features.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/hsearch.rds","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/hsearch.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/links.rds","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/links.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
