"path","current_gitignore_status","current_rbuildignore_status","proposed_destination","destination_gitignore_status","destination_rbuildignore_status","tracked_file_risk","package_build_risk","decision","notes"
".RData","ignored","excluded",".RData","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/cache/R/pkgdown/http/918fb91ebd579178c7691d8e95bbddae.rds","ignored","excluded","artifacts/h24-final/cache/R/pkgdown/http/918fb91ebd579178c7691d8e95bbddae.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/library/oceancube/help/aliases.rds","ignored","excluded","artifacts/h24-final/library/oceancube/help/aliases.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/library/oceancube/help/paths.rds","ignored","excluded","artifacts/h24-final/library/oceancube/help/paths.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/library/oceancube/Meta/features.rds","ignored","excluded","artifacts/h24-final/library/oceancube/Meta/features.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/library/oceancube/Meta/hsearch.rds","ignored","excluded","artifacts/h24-final/library/oceancube/Meta/hsearch.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/library/oceancube/Meta/links.rds","ignored","excluded","artifacts/h24-final/library/oceancube/Meta/links.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/library/oceancube/Meta/nsInfo.rds","ignored","excluded","artifacts/h24-final/library/oceancube/Meta/nsInfo.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/library/oceancube/Meta/package.rds","ignored","excluded","artifacts/h24-final/library/oceancube/Meta/package.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/library/oceancube/Meta/Rd.rds","ignored","excluded","artifacts/h24-final/library/oceancube/Meta/Rd.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/library/oceancube/Meta/vignette.rds","ignored","excluded","artifacts/h24-final/library/oceancube/Meta/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/oceancube/help/aliases.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/oceancube/help/aliases.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/oceancube/help/paths.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/oceancube/help/paths.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/features.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/features.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/hsearch.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/hsearch.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/links.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/links.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/package.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/package.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/Rd.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/Rd.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/vignette.rds","ignored","excluded","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/source/auxdata/layer_sp.Rdata","ignored","excluded","artifacts/h24-final/source/auxdata/layer_sp.Rdata","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-final/source/auxdata/PER_ADM0.RData","ignored","excluded","artifacts/h24-final/source/auxdata/PER_ADM0.RData","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/library/oceancube/help/aliases.rds","ignored","excluded","artifacts/h24-preversion/library/oceancube/help/aliases.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/library/oceancube/help/paths.rds","ignored","excluded","artifacts/h24-preversion/library/oceancube/help/paths.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/library/oceancube/Meta/features.rds","ignored","excluded","artifacts/h24-preversion/library/oceancube/Meta/features.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/library/oceancube/Meta/hsearch.rds","ignored","excluded","artifacts/h24-preversion/library/oceancube/Meta/hsearch.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/library/oceancube/Meta/links.rds","ignored","excluded","artifacts/h24-preversion/library/oceancube/Meta/links.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/library/oceancube/Meta/nsInfo.rds","ignored","excluded","artifacts/h24-preversion/library/oceancube/Meta/nsInfo.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/library/oceancube/Meta/package.rds","ignored","excluded","artifacts/h24-preversion/library/oceancube/Meta/package.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/library/oceancube/Meta/Rd.rds","ignored","excluded","artifacts/h24-preversion/library/oceancube/Meta/Rd.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/library/oceancube/Meta/vignette.rds","ignored","excluded","artifacts/h24-preversion/library/oceancube/Meta/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/help/aliases.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/oceancube/help/aliases.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/help/paths.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/oceancube/help/paths.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/features.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/features.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/hsearch.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/hsearch.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/links.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/links.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/package.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/package.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/Rd.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/Rd.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/vignette.rds","ignored","excluded","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/source/auxdata/layer_sp.Rdata","ignored","excluded","artifacts/h24-preversion/source/auxdata/layer_sp.Rdata","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-preversion/source/auxdata/PER_ADM0.RData","ignored","excluded","artifacts/h24-preversion/source/auxdata/PER_ADM0.RData","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/help/aliases.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/oceancube/help/aliases.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/help/paths.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/oceancube/help/paths.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/features.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/features.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/hsearch.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/hsearch.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/links.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/links.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/package.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/package.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/Rd.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/Rd.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/vignette.rds","ignored","excluded","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/library/oceancube/help/aliases.rds","ignored","excluded","artifacts/h24-release/library/oceancube/help/aliases.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/library/oceancube/help/paths.rds","ignored","excluded","artifacts/h24-release/library/oceancube/help/paths.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/library/oceancube/Meta/features.rds","ignored","excluded","artifacts/h24-release/library/oceancube/Meta/features.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/library/oceancube/Meta/hsearch.rds","ignored","excluded","artifacts/h24-release/library/oceancube/Meta/hsearch.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/library/oceancube/Meta/links.rds","ignored","excluded","artifacts/h24-release/library/oceancube/Meta/links.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/library/oceancube/Meta/nsInfo.rds","ignored","excluded","artifacts/h24-release/library/oceancube/Meta/nsInfo.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/library/oceancube/Meta/package.rds","ignored","excluded","artifacts/h24-release/library/oceancube/Meta/package.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/library/oceancube/Meta/Rd.rds","ignored","excluded","artifacts/h24-release/library/oceancube/Meta/Rd.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/library/oceancube/Meta/vignette.rds","ignored","excluded","artifacts/h24-release/library/oceancube/Meta/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
"artifacts/h24-release/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","ignored","excluded","artifacts/h24-release/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","ignored","excluded","no tracked-file risk","low","compatible","Current no-action or proposed mapping does not expose required content."
