"function","category","stability","primary_input","output","memory","netcdf","changes_shape","returns_cube","returns_table"
"annual_index","Time and climatology","stable","ocean_cube","annual summary","true","true","true","false","false"
"anom_diff","Time and climatology","stable","ocean_cube","ocean_cube","true","true","false","true","false"
"anom_z","Time and climatology","stable","ocean_cube","ocean_cube","true","true","false","true","false"
"clim_day","Time and climatology","stable","ocean_cube","climatology","true","true","true","false","false"
"clim_month","Time and climatology","stable","ocean_cube","climatology","true","true","true","false","false"
"cm_connect","Connection and acquisition","stable","configuration","connection","false","false","false","false","false"
"cm_setup","Connection and acquisition","stable","configuration","configuration","false","false","false","false","false"
"coast_dist","Masks and context","stable","ocean_cube + geometry","distance matrix","true","true","false","false","false"
"crop_stock","Masks and context","stable","stock object","cropped stock","true","true","false","false","false"
"cube_cell_area","Grid geometry","stable","ocean_cube","matrix","true","true","false","false","false"
"cube_cell_volume","Grid geometry","stable","ocean_cube","array","true","true","false","false","false"
"cube_aggregate_time","Time and climatology","experimental","ocean_cube","ocean_cube","true","true","true","true","false"
"cube_climatology","Time and climatology","experimental","ocean_cube","ocean_cube","true","true","true","true","false"
"cube_collect","Grid geometry","stable","ocean_cube","ocean_cube","true","true","true","true","false"
"cube_crop","Selection and extraction","stable","ocean_cube","ocean_cube","true","true","true","true","false"
"cube_extract","Selection and extraction","stable","ocean_cube","data.frame","true","true","true","false","true"
"cube_layer_thickness","Grid geometry","stable","ocean_cube","vector/array","true","true","false","false","false"
"cube_mask","Masks and context","stable","ocean_cube + polygon","ocean_cube","true","true","false","true","false"
"cube_polygon_weights","Grid geometry","experimental","ocean_cube + polygon","data.frame","true","true","false","false","true"
"cube_slice","Selection and extraction","stable","ocean_cube","ocean_cube","true","true","true","true","false"
"cube_transect","Selection and extraction","experimental","ocean_cube + path","data.frame","true","true","true","false","true"
"download_nc","Connection and acquisition","stable","request","file(s)","false","false","false","false","false"
"layer_mean","Vertical summary","stable","ocean_cube","ocean_cube","true","true","true","true","false"
"link_events","Selection and extraction","stable","events + ocean_cube","data.frame","true","true","true","false","true"
"ocean_cube","Construction and backend","stable","coordinates + array/backend","ocean_cube","true","false","false","true","false"
"read_nc","Connection and acquisition","stable","NetCDF path","ocean_cube","false","true","false","true","false"
"signal_noise","Time and climatology","stable","climatology","ocean_cube","true","true","false","true","false"
"stock_mask","Masks and context","stable","stock geometry","mask","true","true","false","false","false"
"to_month","Time and climatology","stable","ocean_cube","ocean_cube","true","true","true","true","false"
